name,telephone,address,city,postalCode,zone
FOUMOU MORETTI NATHALIE,03 21 69 35 34,SELARL DU DOCTEUR FOUMOU MORETTI 3 RUE PASTEUR,CARVIN,62220,Abscon
MILONAS LAETITIA,03 21 69 35 34,SELARL DU DOCTEUR MILONAS 3 RUE LOUIS PASTEUR,CARVIN,62220,Abscon
GUILLEMONT ISABELLE,03 27 74 85 85,SELARL CABINET DENTAIRE DOCTEUR GUILLE 2 AVENUE DE LA VICTOIRE,CAMBRAI,59400,Abscon
LAVALARD FLORENCE,03 27 82 33 77,65 BOULEVARD VAUBAN,CAMBRAI,59400,Abscon
BODART CHRISTOPHE,03 27 83 14 48,18B RUE DE PERONNE,CAMBRAI,59400,Abscon
HADJIAT FADIL,03 21 42 46 29,CABINET DR HADJIAT 10 RUE CARNOT,NOYELLES GODAULT,62950,Abscon
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Abscon
RABACHE MATHILDE,03 20 79 45 97,SELARL DU DOCTEUR RIZZO MATHILDE SELARL DU DR RIZZO M 250 RUE SALVADOR ALLENDE,CYSOING,59830,Abscon
MASSE ANNE LAETITIA,03 21 20 56 05,DOCTEUR ANNE LAETITIA MASSE TRUFFAUT 10 PLACE WAGON,HENIN BEAUMONT,62110,Abscon
CAUCHY DELODDERE DELPHINE,03 21 20 56 05,SELARL DES DRS DELPHINE ET DAVID CAUCH 10 PLACE WAGON,HENIN BEAUMONT,62110,Abscon
CAUCHY DAVID,03 21 20 56 05,SELARL DES DRS DELPHINE ET DAVID CAUCH 10 PLACE WAGON,HENIN BEAUMONT,62110,Abscon
FOUMOU MORETTI NATHALIE,03 21 69 35 34,SELARL DU DOCTEUR FOUMOU MORETTI 3 RUE PASTEUR,CARVIN,62220,Abscon
MILONAS LAETITIA,03 21 69 35 34,SELARL DU DOCTEUR MILONAS 3 RUE LOUIS PASTEUR,CARVIN,62220,Abscon
CORNUT PAULINE,03 27 67 51 82,SELARL DU DOCTEUR PAULINE CORNUT MUDES SELARL DR CORNUT MUDES 1040 AVENUE CLEMENCEAU,FERRIERE LA GRANDE,59680,Aibes
MERCIER GAELE,,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Aibes
POTTIER COUVREUR BENEDICTE,03 27 62 10 64,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Aibes
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Aibes
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Aibes
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Aibes
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Aibes
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Aibes
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Aibes
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Aibes
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Aibes
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Aibes
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Aibes
CORNUT PAULINE,03 27 67 51 82,SELARL DU DOCTEUR PAULINE CORNUT MUDES SELARL DR CORNUT MUDES 1040 AVENUE CLEMENCEAU,FERRIERE LA GRANDE,59680,Aibes
MERCIER GAELE,,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Aibes
POTTIER COUVREUR BENEDICTE,03 27 62 10 64,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Aibes
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Aibes
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Aibes
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Aibes
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Aibes
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Aibes
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Aibes
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Aibes
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Aibes
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Aibes
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Aibes
CORNUT PAULINE,03 27 67 51 82,SELARL DU DOCTEUR PAULINE CORNUT MUDES SELARL DR CORNUT MUDES 1040 AVENUE CLEMENCEAU,FERRIERE LA GRANDE,59680,Aibes
MERCIER GAELE,,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Aibes
POTTIER COUVREUR BENEDICTE,03 27 62 10 64,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Aibes
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Aibes
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Aibes
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Aibes
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Aibes
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Aibes
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Aibes
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Aibes
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Aibes
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Aibes
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Aibes
LAGACHE SOPHIE,03 20 30 90 74,52 RUE DE DON,ANNOEULLIN,59112,Allennes-les-Marais
COSTENOBLE ALINE,03 20 96 42 78,SELARL DOCTEUR ALINE COSTENOBLE 1B RUE DU CHEVALIER DE LA BARRE,SAINGHIN EN WEPPES,59184,Allennes-les-Marais
CLAUDE PHILIPPE,03 21 37 57 00,19 RUE EMILE ZOLA,CARVIN,62220,Allennes-les-Marais
FOUMOU MORETTI NATHALIE,03 21 69 35 34,SELARL DU DOCTEUR FOUMOU MORETTI 3 RUE PASTEUR,CARVIN,62220,Allennes-les-Marais
MILONAS LAETITIA,03 21 69 35 34,SELARL DU DOCTEUR MILONAS 3 RUE LOUIS PASTEUR,CARVIN,62220,Allennes-les-Marais
ROBEYNS ETIENNE,03 20 32 55 88,98 RUE MAURICE BOUCHERY,SECLIN,59113,Allennes-les-Marais
BODART PATRICK,03 20 50 56 01,1ER ETAGE 19 RUE SADI CARNOT 19/21,HAUBOURDIN,59320,Allennes-les-Marais
JOULIA DENIS,03 20 49 90 56,5 RUE DE LILLE,LA BASSEE,59480,Allennes-les-Marais
VENDEVILLE AUDREY,03 20 96 11 30,ALIGN CHIRURGIE DENTAIRE ET ORTHODONTI ALIGN CHIRURGIE DENTAIRE 3 RUE DE REIMS,WATTIGNIES,59139,Allennes-les-Marais
VENDEVILLE GAEL,,SMILE CHIRURGIE DENTAIRE ET ORTHODONTI SMILE CHIRURGIE DENTAIRE 3 RUE DE REIMS,WATTIGNIES,59139,Allennes-les-Marais
KUREK JEAN CHRISTOPHE,03 21 40 30 12,CABINET DR KUREK 12D RUE VICTOR HUGO,BENIFONTAINE,62410,Allennes-les-Marais
NAZAT DOMINIQUE,03 20 50 11 11,4/93 LES SYCOMORES 5 BOULEVARD FOCH PARC DU CHATEAU,LOOS,59120,Allennes-les-Marais
VEERASAMY MALINOWSKI STEPHANIE,03 20 60 33 92,SELARL ORTHODONTIE STEPHANIE VEERASAMY 68 RUE CLEMENCEAU,WATTIGNIES,59139,Allennes-les-Marais
BIALAIS BRUNO,03 20 60 33 92,SELARL ORTHODONTIE BIALAIS SELARL ORTHODONTIE BIALAI 68 RUE CLEMENCEAU,WATTIGNIES,59139,Allennes-les-Marais
BOCQUET EMMANUELLE,,DR BOCQUET 1 PLACE DE VERDUN,LILLE,59000,Allennes-les-Marais
CATTELAIN DIEU MAI,03 20 22 18 76,SELARL PLACE GENEVIERES 5 PLACE GENEVIERES,LILLE,59000,Allennes-les-Marais
BONNEL ANTOINE,03 20 63 99 73,299 RUE NATIONALE,LILLE,59800,Allennes-les-Marais
MASSE ANNE LAETITIA,03 21 20 56 05,DOCTEUR ANNE LAETITIA MASSE TRUFFAUT 10 PLACE WAGON,HENIN BEAUMONT,62110,Allennes-les-Marais
CAUCHY DAVID,03 21 20 56 05,SELARL DES DRS DELPHINE ET DAVID CAUCH 10 PLACE WAGON,HENIN BEAUMONT,62110,Allennes-les-Marais
CAUCHY DELODDERE DELPHINE,03 21 20 56 05,SELARL DES DRS DELPHINE ET DAVID CAUCH 10 PLACE WAGON,HENIN BEAUMONT,62110,Allennes-les-Marais
GUEGNAUD ISABELLE,03 20 30 06 94,18 BOULEVARD VAUBAN,LILLE,59000,Allennes-les-Marais
BIECQ MARION,03 20 15 24 24,17 BOULEVARD VAUBAN,LILLE,59000,Allennes-les-Marais
MOREAU ALEXIS,03 20 60 37 55,235 BOULEVARD DE LA LIBERTE,LILLE,59800,Allennes-les-Marais
HADJIAT FADIL,03 21 42 46 29,CABINET DR HADJIAT 10 RUE CARNOT,NOYELLES GODAULT,62950,Allennes-les-Marais
GAUTHY SOPHIE,03 21 28 94 75,CABINET DENTAIRE 78 AVENUE DU 4 SEPTEMBRE,LENS,62300,Allennes-les-Marais
PIC AURELIE,03 21 67 05 01,DRS PIC ET VAAST SELARL DE CHIRUGIENS 75 AVENUE DU 4 SEPTEMBRE,LENS,62300,Allennes-les-Marais
MAILLY JULIEN,03 21 67 05 01,SELARL DRS PIC ET VAAST CHIR DENT 75 AVENUE DU 4 SEPTEMBRE,LENS,62300,Allennes-les-Marais
HONG TUAN HA EMILIE,03 20 22 24 04,SELARL DU DOCTEUR HONG TUAN HA EMILIE 84 RUE EDOUARD AGACHE,PERENCHIES,59840,Allennes-les-Marais
LE BRIS CAROLINE,03 20 22 24 04,SELARL DU DOCTEUR LE BRIS CAROLINE 84 RUE EDOUARD AGACHE,PERENCHIES,59840,Allennes-les-Marais
DRANCOURT PATRICE,03 28 52 00 85,13 RUE DES CANONNIERS,LILLE,59800,Allennes-les-Marais
QUANDALLE CHRISTOPHE,03 28 52 00 85,13 RUE DES CANONNIERS,LILLE,59800,Allennes-les-Marais
BOUCHEZ RICHARD,,CABINET DENTAIRE DU DOCTEUR BOUCHEZ 30 PLACE AUX BLEUETS,LILLE,59800,Allennes-les-Marais
DESCAMP LUTUN AXELLE,03 20 06 30 70,30-36 PLACE AUX BLEUETS,LILLE,59000,Allennes-les-Marais
HIEULLE JUSTINE,03 20 55 84 02,SELARL DOCTEUR JUSTINE HIEULLE SELARL DR JUSTINE HIEULLE 95B RUE GEORGES POMPIDOU,LA MADELEINE,59110,Allennes-les-Marais
TIERNY FLORENT,,CABINET DU DR TIERNY 95B RUE DU PRESIDENT POMPIDOU,LA MADELEINE,59110,Allennes-les-Marais
DECRUCQ EDOUARD,03 20 55 84 02,SELARL DOCTEUR EDOUARD DECRUCQ 95B RUE DU PRESIDENT POMPIDOU,LA MADELEINE,59110,Allennes-les-Marais
HARB PHILIPPE,03 20 40 83 40,163 RUE DU GAL LECLERC,ST ANDRE LEZ LILLE,59350,Allennes-les-Marais
MUTELET OLIVIER,03 20 35 48 10,CABINET DU DR MUTELET 13 RUE PAUL POUCHAIN,ARMENTIERES,59280,Allennes-les-Marais
BOUDOUX BRIGITTE,03 20 35 48 10,CABINET DU DR BOUDOUX DOBY 2/4 PLACE LAMBIN RESIDENCE VERONESE,ARMENTIERES,59280,Allennes-les-Marais
LEFEBVRE SANDRINE,03 21 44 43 67,CABINET DENTAIRE RESIDENCE EQUINOXE PLACE GAMBETTA,LIEVIN,62800,Allennes-les-Marais
DELCOURT ERIC,03 20 19 01 01,27 ROUTE DE SAINGHIN,VILLENEUVE D ASCQ,59493,Allennes-les-Marais
TELLIEZ PIERRE,03 20 19 01 01,CABINET DU DOCTEUR TELLIEZ 27 ROUTE DE SAINGHIN,VILLENEUVE D ASCQ,59493,Allennes-les-Marais
YVART OUSTELANDT BEATRICE,03 20 34 08 34,DOCTEUR BEATRICE YVART 69 RUE GASTON BARATTE,VILLENEUVE D ASCQ,59650,Allennes-les-Marais
HOURIEZ GUILLAUME,,CABINET D ORTHODONTIE LES PRES 9 RUE JACQUES PREVERT,VILLENEUVE D ASCQ,59650,Allennes-les-Marais
LEGER PIERRE ANTOINE,,CABINET D ORTHODONTIE LES PRES 9 RUE JACQUES PREVERT,VILLENEUVE D ASCQ,59650,Allennes-les-Marais
PORTIER EDOUARD,,CABINET D ORTHODONTIE LES PRES 9 RUE JACQUES PREVERT,VILLENEUVE D ASCQ,59650,Allennes-les-Marais
PINDI GUY,,CABINET D ORTHODONTIE LES PRES 9 RUE JACQUES PREVERT,VILLENEUVE D ASCQ,59650,Allennes-les-Marais
VELAY ALAIN HENRI,,31 PLACE LISFRANC,MARCQ EN BAROEUL,59700,Allennes-les-Marais
ALLART FRANCOIS,,31 PLACE LISFRANC,MARCQ EN BAROEUL,59700,Allennes-les-Marais
LABRIFFE JEAN LUC,,31 PLACE LISFRANC,MARCQ EN BAROEUL,59700,Allennes-les-Marais
RAKOTOMALALA HERVEY,,SELARL DU DR H RAKOTOMALALA 8 RUE DU DR DUCROQUET 8 RUE DU DOCTEUR DUCROQUET,MARCQ EN BAROEUL,59700,Allennes-les-Marais
PETITPREZ CAROLINE,,CABINET DU DR PETITPREZ 4 RUE EMILE ROCHE,ESTAIRES,59940,Allennes-les-Marais
RABACHE MATHILDE,03 20 79 45 97,SELARL DU DOCTEUR RIZZO MATHILDE SELARL DU DR RIZZO M 250 RUE SALVADOR ALLENDE,CYSOING,59830,Allennes-les-Marais
VANDEVELDE EMILIE,03 20 45 20 04,SELARL DU DOCTEUR EMILIE VANDEVELDE 1 RUE PASTEUR,WASQUEHAL,59290,Allennes-les-Marais
HILMOINE CHARLOTTE,,SELARL DU DOCTEUR CHARLOTTE HILMOINE 1 RUE PASTEUR,WASQUEHAL,59290,Allennes-les-Marais
LECLERCQ VINCENT,03 27 88 75 98,LECLERCQ VINCENT 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Allennes-les-Marais
DELACOURT PHILIPPE,,25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Allennes-les-Marais
JARCET CAROLINE,03 27 88 75 98,JARCET WALKOWIAK 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Allennes-les-Marais
ESCHARD CAROLINE,03 27 97 08 58,CABINET DU DR ESCHARD 8 RUE MARTIN DU NORD,DOUAI,59500,Allennes-les-Marais
HONORE CHARLES EDOUARD,03 20 11 12 03,29 AVENUE DE LA MARNE,WASQUEHAL,59290,Allennes-les-Marais
BOURHIS EMILIE,03 21 68 63 88,SELAS DE CHIRURGIENS DENTISTES EBHL 57 RUE ARISTIDE HURBIEZ,BETHUNE,62400,Allennes-les-Marais
LAWNICZAK HUGUES,03 21 68 63 88,SELAS DE CHIRURGIENS DENTISTES EBHL 57 RUE ARISTIDE HURBIEZ,BETHUNE,62400,Allennes-les-Marais
DELEZENNE CHARLOTTE,09 66 96 17 06,4 RUE JEAN JAURES,CROIX,59170,Allennes-les-Marais
TOUREH ERIC,03 21 57 89 01,CABINET DU DR TOUREH 27 RUE HENRI DUNANT,BETHUNE,62400,Allennes-les-Marais
DELCOURT CATHERINE,03 20 87 98 28,CABINET DU DR DELCOURT RES LE LYS D'OR APPT 5 30 RUE FOUQUET LE LONG,BONDUES,59910,Allennes-les-Marais
DE VADDER HELENE,,SELARL ORTHO SULLY 536 AVENUE SULLY,BETHUNE,62400,Allennes-les-Marais
PONTHIEUX VIRGINIE,03 21 52 42 08,SCM SULLY 536 AVENUE SULLY,BETHUNE,62400,Allennes-les-Marais
LONGUEPEE CAROLINE,03 20 75 83 97,SELARL CABINET D ORTHODONTIE 7 RUE DES ECOLES,HEM,59510,Allennes-les-Marais
DESSEIN PINET MARTINE,,DESSEIN PINET 24 RUE JULES FERRY,ORCHIES,59310,Allennes-les-Marais
HENNION JULIETTE,03 20 71 78 00,DESSEIN PINET 24 RUE JULES FERRY,ORCHIES,59310,Allennes-les-Marais
AMROUNI KARIM,,CABINET DU DR AMROUNI 19 RUE DES ECOLES,ROUBAIX,59100,Allennes-les-Marais
DECOCQ PHILIPPE,03 20 73 99 73,SELARL PHILIPPE DECOCQ 41 RUE PIERRE MOTTE,ROUBAIX,59100,Allennes-les-Marais
LEQUETTE BENJAMIN,,21 RUE DU MARECHAL FOCH,LINSELLES,59126,Allennes-les-Marais
DEBUS MURIEL,03 20 27 27 30,14 PLACE DE LA VICTOIRE,TOURCOING,59200,Allennes-les-Marais
BETRANCOURT SOPHIE,03 20 27 27 30,SELARLSOPHIE BETRANCOURT 14 PLACE DE LA VICTOIRE,TOURCOING,59200,Allennes-les-Marais
SERGENT TRONET JUSTINE,03 20 24 18 27,SCP DES DOCTEURS SERGENT 56 RUE FIDELE LEHOUCQ,TOURCOING,59200,Allennes-les-Marais
SERGENT OLIVIER,03 20 24 18 27,SCP DES DOCTEURS SERGENT 56 RUE FIDELE LEHOUCQ,TOURCOING,59200,Allennes-les-Marais
